lag_months,regime,rank,code,sector_name,avg_excess_pct,assigned_regime
0,Recovery,1,5045,KRX 헬스케어,3.013620930827543,Slowdown
0,Recovery,2,5046,KRX 미디어통신,1.0731792519878511,Contraction
0,Recovery,3,1170,KOSPI200 유틸리티,0.6713118923509009,Contraction
0,Recovery,4,5042,KRX 산업재,0.6179476979276639,Expansion
0,Recovery,5,5044,KRX 반도체,0.2832414614930445,Recovery
0,Recovery,6,1168,KOSPI200 금융,-0.28046926055745136,Expansion
0,Recovery,7,1165,KOSPI200 경기소비재,-0.46777549349587,Expansion
0,Recovery,8,1155,KOSPI200 정보기술,-0.5198200129351793,Recovery
0,Recovery,9,1157,KOSPI200 생활소비재,-2.0030899385558465,Contraction
0,Recovery,10,5049,KRX 철강,-4.535625652828016,Slowdown
0,Recovery,11,5048,KRX 에너지화학,-6.394655996637388,Slowdown
0,Expansion,1,5044,KRX 반도체,2.072523039848232,Recovery
0,Expansion,2,1155,KOSPI200 정보기술,1.3679401959228104,Recovery
0,Expansion,3,5046,KRX 미디어통신,1.2103703323180086,Contraction
0,Expansion,4,5042,KRX 산업재,0.4376767890835941,Expansion
0,Expansion,5,1170,KOSPI200 유틸리티,0.13868974225897593,Contraction
0,Expansion,6,1165,KOSPI200 경기소비재,0.13108090533844494,Expansion
0,Expansion,7,1157,KOSPI200 생활소비재,0.09774340554525221,Contraction
0,Expansion,8,5045,KRX 헬스케어,0.02060962090883613,Slowdown
0,Expansion,9,1168,KOSPI200 금융,-0.9670966102185805,Expansion
0,Expansion,10,5049,KRX 철강,-1.0201333320883683,Slowdown
0,Expansion,11,5048,KRX 에너지화학,-1.478280696151684,Slowdown
0,Slowdown,1,5049,KRX 철강,3.1317090511271988,Slowdown
0,Slowdown,2,5044,KRX 반도체,2.9142036590777103,Recovery
0,Slowdown,3,5045,KRX 헬스케어,1.8214018347875145,Slowdown
0,Slowdown,4,5048,KRX 에너지화학,0.42731697828204823,Slowdown
0,Slowdown,5,1155,KOSPI200 정보기술,0.11738891577252608,Recovery
0,Slowdown,6,5042,KRX 산업재,0.026297952106454914,Expansion
0,Slowdown,7,1168,KOSPI200 금융,-0.5334166610519733,Expansion
0,Slowdown,8,1170,KOSPI200 유틸리티,-0.6735751227962938,Contraction
0,Slowdown,9,1165,KOSPI200 경기소비재,-1.5130976366787814,Expansion
0,Slowdown,10,1157,KOSPI200 생활소비재,-1.9870415783052695,Contraction
0,Slowdown,11,5046,KRX 미디어통신,-2.3268584862013983,Contraction
1,Recovery,1,5046,KRX 미디어통신,8.624385882423645,Contraction
1,Recovery,2,5045,KRX 헬스케어,6.0250403861058475,Slowdown
1,Recovery,3,1165,KOSPI200 경기소비재,3.5578383764979717,Expansion
1,Recovery,4,1170,KOSPI200 유틸리티,2.994433397242509,Contraction
1,Recovery,5,1168,KOSPI200 금융,2.524656236614305,Expansion
1,Recovery,6,1157,KOSPI200 생활소비재,0.4765213988235632,Contraction
1,Recovery,7,5042,KRX 산업재,0.36113022744737044,Expansion
1,Recovery,8,5044,KRX 반도체,-2.7773095261231395,Recovery
1,Recovery,9,1155,KOSPI200 정보기술,-3.181199681422908,Recovery
1,Recovery,10,5048,KRX 에너지화학,-3.7921534993264006,Slowdown
1,Recovery,11,5049,KRX 철강,-3.9809398329835544,Slowdown
1,Expansion,1,5044,KRX 반도체,2.3288974730120673,Recovery
1,Expansion,2,1155,KOSPI200 정보기술,2.090980535151241,Recovery
1,Expansion,3,5042,KRX 산업재,0.5272688333367798,Expansion
1,Expansion,4,5045,KRX 헬스케어,0.26772838064726906,Slowdown
1,Expansion,5,5046,KRX 미디어통신,-0.03712179826191196,Contraction
1,Expansion,6,1165,KOSPI200 경기소비재,-0.4056436028500748,Expansion
1,Expansion,7,1157,KOSPI200 생활소비재,-0.4829938586970284,Contraction
1,Expansion,8,1170,KOSPI200 유틸리티,-0.5565885222843823,Contraction
1,Expansion,9,5049,KRX 철강,-0.8250358915519982,Slowdown
1,Expansion,10,1168,KOSPI200 금융,-0.9715447053226887,Expansion
1,Expansion,11,5048,KRX 에너지화학,-1.904506283073595,Slowdown
1,Slowdown,1,5044,KRX 반도체,1.1759984334194316,Recovery
1,Slowdown,2,1170,KOSPI200 유틸리티,1.168809799594048,Contraction
1,Slowdown,3,5049,KRX 철강,0.8978851102191518,Slowdown
1,Slowdown,4,5042,KRX 산업재,0.07811123812625374,Expansion
1,Slowdown,5,5046,KRX 미디어통신,-0.3841050254997283,Contraction
1,Slowdown,6,1165,KOSPI200 경기소비재,-1.081203068538155,Expansion
1,Slowdown,7,5045,KRX 헬스케어,-1.1450743647879593,Slowdown
1,Slowdown,8,1168,KOSPI200 금융,-1.1524288925369435,Expansion
1,Slowdown,9,1155,KOSPI200 정보기술,-1.157921712493263,Recovery
1,Slowdown,10,5048,KRX 에너지화학,-1.444473779217623,Slowdown
1,Slowdown,11,1157,KOSPI200 생활소비재,-1.5786192683165612,Contraction
2,Recovery,1,5045,KRX 헬스케어,6.591778217130599,Slowdown
2,Recovery,2,1165,KOSPI200 경기소비재,2.973814846715206,Expansion
2,Recovery,3,5044,KRX 반도체,2.0038746165935555,Recovery
2,Recovery,4,1155,KOSPI200 정보기술,1.6364055270317774,Recovery
2,Recovery,5,5046,KRX 미디어통신,1.2059016023525548,Contraction
2,Recovery,6,5042,KRX 산업재,0.7009160144788289,Expansion
2,Recovery,7,1168,KOSPI200 금융,0.5600671929066547,Expansion
2,Recovery,8,5048,KRX 에너지화학,0.29404279791802235,Slowdown
2,Recovery,9,1170,KOSPI200 유틸리티,-0.3043226893419996,Contraction
2,Recovery,10,1157,KOSPI200 생활소비재,-1.509141420180382,Contraction
2,Recovery,11,5049,KRX 철강,-1.9487709122663954,Slowdown
2,Expansion,1,1155,KOSPI200 정보기술,1.5826016508004832,Recovery
2,Expansion,2,5044,KRX 반도체,1.0416212131062925,Recovery
2,Expansion,3,5046,KRX 미디어통신,0.8828493849779632,Contraction
2,Expansion,4,5045,KRX 헬스케어,0.4989100063586301,Slowdown
2,Expansion,5,5042,KRX 산업재,0.4453608668556564,Expansion
2,Expansion,6,1170,KOSPI200 유틸리티,0.3115369699363494,Contraction
2,Expansion,7,1157,KOSPI200 생활소비재,0.19919810967130644,Contraction
2,Expansion,8,1168,KOSPI200 금융,-0.1345494805752575,Expansion
2,Expansion,9,1165,KOSPI200 경기소비재,-0.21970754612869034,Expansion
2,Expansion,10,5049,KRX 철강,-1.2345419621513947,Slowdown
2,Expansion,11,5048,KRX 에너지화학,-2.8532843402354984,Slowdown
2,Slowdown,1,5049,KRX 철강,1.0748398256538205,Slowdown
2,Slowdown,2,5044,KRX 반도체,0.9111424686689563,Recovery
2,Slowdown,3,1170,KOSPI200 유틸리티,0.6280571624826448,Contraction
2,Slowdown,4,5042,KRX 산업재,-0.03617381924450158,Expansion
2,Slowdown,5,5048,KRX 에너지화학,-0.4950795258141971,Slowdown
2,Slowdown,6,1165,KOSPI200 경기소비재,-0.514728436766817,Expansion
2,Slowdown,7,5045,KRX 헬스케어,-0.6391043555724296,Slowdown
2,Slowdown,8,1157,KOSPI200 생활소비재,-0.8562547294425271,Contraction
2,Slowdown,9,1168,KOSPI200 금융,-1.0056823740793996,Expansion
2,Slowdown,10,5046,KRX 미디어통신,-1.1485613205525902,Contraction
2,Slowdown,11,1155,KOSPI200 정보기술,-1.4569728934215265,Recovery
